번호,공고명,수집일자
1,[울산] 청년 사업가 네트워크 1939(일구삼구) 상시 모집 공고,2026-02-09
2,[경기] 안양시 2026년 국내전시회 개별 참가기업 지원사업 참가 기업 모집 공고,2026-02-09
3,[경북] 영주시 2026년 공공배달앱 활성화 지원사업 참여업체 모집 공고(기본배달료 지원),2026-02-09
4,[전북] 2026년 전북형 창업패키지 창업기업 모집 공고,2026-02-09
5,2026년 경북 영덕 신활력 어촌정착 지원사업 모집 공고(강구항 로컬 이노베이션사업),2026-02-09
6,[충남] 2026년 충남국방벤처센터 협약기업 모집 공고,2026-02-09
7,2026년 해외플랜트 시장개척 지원사업 신청 공고,2026-02-09
8,2026년 청년디자이너 인턴십 지원사업 참여기업ㆍ기관 모집 공고,2026-02-09
9,[경북] 2026년 상반기 1차 IP 나래 프로그램 지원사업 모집 공고,2026-02-09
10,2026년 천연물소재 전주기 표준화 지원사업 수혜기업 모집 공고,2026-02-09
11,2026년 해외인력 취업매칭 지원(K-Tech college) 운영사 모집 공고,2026-02-09
12,2026년 실감콘텐츠 스튜디오 프로젝트 현물지원기업 모집 공고,2026-02-09
13,2026년 공동제작협정 프로그램 제작지원 공고,2026-02-09
14,광역연계형 규제자유특구 후보과제 모집 공고,2026-02-09
15,[전북] 수도권 판로개척을 위한 수원 메가쇼 시즌1 연계 공동프로모션 참여기업 모집 공고,2026-02-09
